date,name,mobility
2020-02-23,Wyndham (C),1.0625
2020-02-23,average,1.0735379764422122
2020-02-23,highSE,1.088565576825804
2020-02-23,lowSE,1.0534354075141892
2020-02-23,midSE,1.0929184665405567
2020-02-24,Banyule (C),1.6
2020-02-24,Bayside (C),1.5294117647058822
2020-02-24,Boroondara (C),1.657142857142857
2020-02-24,Brimbank (C),1.4285714285714286
2020-02-24,Cardinia (S),1.3571428571428572
2020-02-24,Casey (C),1.3571428571428572
2020-02-24,Darebin (C),1.6875
2020-02-24,Frankston (C),1.4
2020-02-24,Glen Eira (C),1.6111111111111112
2020-02-24,Greater Dandenong (C),1.4285714285714286
2020-02-24,Hobsons Bay (C),1.6
2020-02-24,Hume (C),1.4285714285714286
2020-02-24,Kingston (C) (Vic.),1.6206896551724137
2020-02-24,Knox (C),1.5517241379310345
2020-02-24,Manningham (C),1.5806451612903225
2020-02-24,Maribyrnong (C),1.5882352941176472
2020-02-24,Maroondah (C),1.5333333333333332
2020-02-24,Melbourne (C),1.6
2020-02-24,Melton (C),1.5384615384615383
2020-02-24,Monash (C),1.4705882352941178
2020-02-24,Moonee Valley (C),1.5882352941176472
2020-02-24,Moreland (C),1.6363636363636362
2020-02-24,Mornington Peninsula (S),1.3333333333333333
2020-02-24,Port Phillip (C),1.5555555555555556
2020-02-24,Stonnington (C),1.631578947368421
2020-02-24,Whitehorse (C),1.625
2020-02-24,Whittlesea (C),1.4827586206896552
2020-02-24,Wyndham (C),1.5714285714285714
2020-02-24,Yarra (C),1.6578947368421053
2020-02-24,average,1.527915841812355
2020-02-24,highSE,1.597903522309168
2020-02-24,lowSE,1.4762275617866687
2020-02-24,midSE,1.5371775247355752
2020-02-25,Banyule (C),1.5428571428571427
2020-02-25,Bayside (C),1.4736842105263157
2020-02-25,Boroondara (C),1.5121951219512195
2020-02-25,Brimbank (C),1.4193548387096775
2020-02-25,Cardinia (S),1.3333333333333333
2020-02-25,Casey (C),1.3125
2020-02-25,Darebin (C),1.5555555555555556
2020-02-25,Frankston (C),1.4444444444444444
2020-02-25,Glen Eira (C),1.5
2020-02-25,Greater Dandenong (C),1.4
2020-02-25,Hobsons Bay (C),1.4705882352941178
2020-02-25,Hume (C),1.3548387096774195
2020-02-25,Kingston (C) (Vic.),1.4705882352941178
2020-02-25,Knox (C),1.5
2020-02-25,Manningham (C),1.5142857142857142
2020-02-25,Maribyrnong (C),1.526315789473684
2020-02-25,Maroondah (C),1.4
2020-02-25,Melbourne (C),1.5217391304347827
2020-02-25,Melton (C),1.4482758620689655
2020-02-25,Monash (C),1.4473684210526316
2020-02-25,Moonee Valley (C),1.4736842105263157
2020-02-25,Moreland (C),1.5
2020-02-25,Mornington Peninsula (S),1.2758620689655173
2020-02-25,Port Phillip (C),1.4761904761904763
2020-02-25,Stonnington (C),1.5
2020-02-25,Whitehorse (C),1.5135135135135136
2020-02-25,Whittlesea (C),1.375
2020-02-25,Wyndham (C),1.5
2020-02-25,Yarra (C),1.511111111111111
