date,name,mobility
2020-02-24,Hornsby (A),1.5142857142857142
2020-02-24,Inner West (A),1.5405405405405406
2020-02-24,Ku-ring-gai (A),1.5526315789473686
2020-02-24,Liverpool (C),1.4230769230769231
2020-02-24,North Sydney (A),1.6153846153846154
2020-02-24,Northern Beaches (A),1.5294117647058822
2020-02-24,Parramatta (C),1.6
2020-02-24,Penrith (C),1.3333333333333333
2020-02-24,Randwick (C),1.4444444444444444
2020-02-24,Ryde (C),1.4864864864864864
2020-02-24,Strathfield (A),1.3714285714285714
2020-02-24,Sydney (C),1.564102564102564
2020-02-24,The Hills Shire (A),1.5151515151515151
2020-02-24,Waverley (A),1.5454545454545454
2020-02-24,Willoughby (C),1.5405405405405406
2020-02-24,Woollahra (A),2.0
2020-02-24,average,1.4672943708363098
2020-02-24,highSE,1.5635245571959064
2020-02-24,lowSE,1.3920619689258853
2020-02-24,midSE,1.5139986473584957
2020-02-25,Bayside (A),1.4444444444444444
2020-02-25,Blacktown (C),1.4
2020-02-25,Camden (A),1.3333333333333333
2020-02-25,Canada Bay (A),1.4736842105263157
2020-02-25,Canterbury-Bankstown (A),1.3770491803278688
2020-02-25,Central Coast (C) (NSW),1.25
2020-02-25,Cumberland (A),1.4
2020-02-25,Fairfield (C),1.2857142857142856
2020-02-25,Georges River (A),1.4117647058823528
2020-02-25,Hawkesbury (C),1.3461538461538463
2020-02-25,Hornsby (A),1.4864864864864864
2020-02-25,Inner West (A),1.5365853658536586
2020-02-25,Ku-ring-gai (A),1.4390243902439024
2020-02-25,Liverpool (C),1.3214285714285714
2020-02-25,North Sydney (A),1.5454545454545454
2020-02-25,Northern Beaches (A),1.4444444444444444
2020-02-25,Parramatta (C),1.5294117647058822
2020-02-25,Penrith (C),1.2857142857142856
2020-02-25,Randwick (C),1.4210526315789473
2020-02-25,Ryde (C),1.4615384615384617
2020-02-25,Strathfield (A),1.4210526315789473
2020-02-25,Sydney (C),1.4545454545454546
2020-02-25,The Hills Shire (A),1.4324324324324325
2020-02-25,Waverley (A),1.5405405405405406
2020-02-25,Willoughby (C),1.4761904761904763
2020-02-25,Woollahra (A),1.8888888888888888
2020-02-25,average,1.412636938747496
2020-02-25,highSE,1.4910139968648155
2020-02-25,lowSE,1.3417452523460882
2020-02-25,midSE,1.464298234508865
2020-02-26,Bayside (A),1.3333333333333333
2020-02-26,Blacktown (C),1.5
2020-02-26,Camden (A),1.3
2020-02-26,Canada Bay (A),1.4736842105263157
2020-02-26,Canterbury-Bankstown (A),1.2950819672131146
2020-02-26,Central Coast (C) (NSW),1.2083333333333333
2020-02-26,Cumberland (A),1.3448275862068966
2020-02-26,Fairfield (C),1.2857142857142856
2020-02-26,Georges River (A),1.3333333333333333
2020-02-26,Hawkesbury (C),1.2413793103448276
2020-02-26,Hornsby (A),1.4210526315789473
2020-02-26,Inner West (A),1.4285714285714286
2020-02-26,Ku-ring-gai (A),1.45
2020-02-26,Liverpool (C),1.2857142857142856
2020-02-26,North Sydney (A),1.4545454545454546
2020-02-26,Northern Beaches (A),1.4324324324324325
2020-02-26,Parramatta (C),1.457142857142857
